Species,dnds,Gene,Mutualist,Pair,Transition
Azorhizobium_caulinodans,0.0806507,OG0002287,M,c,gain
Rhizobium_gallicum,0.0503789,OG0002288,M,f,loss
Rhizobium_tubonense,0.0503632,OG0002288,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0002288,M,a,loss
Sinorhizobium_M4_45,856.246,OG0002288,F,a,loss
Bradyrhizobium_oligotrophicum,0.0525723,OG0002288,F,b,loss
Bradyrhizobium_icense,0.131528,OG0002288,M,b,loss
Azorhizobium_caulinodans,0.198188,OG0002288,M,c,gain
Xanthobacter_autotrophicus,0.079855400000000007,OG0002288,F,c,gain
Microvirga_vignae,0.0257308,OG0002288,M,d,gain
Microvirga_subterranea,0.0655053,OG0002288,F,d,gain
Mesorhizobium_temperatum,0.00589149,OG0002288,M,e,loss
Mesorhizobium_oceanicum,0.0426493,OG0002288,F,e,loss
Microvirga_subterranea,0.0529881,OG0002291,F,d,gain
Mesorhizobium_temperatum,0.0735068,OG0002291,M,e,loss
Mesorhizobium_oceanicum,0.0189204,OG0002291,F,e,loss
Sinorhizobium_meliloti,1e-4,OG0002291,M,a,loss
Sinorhizobium_M4_45,999,OG0002291,F,a,loss
Rhizobium_gallicum,0.0708776,OG0002291,M,f,loss
Rhizobium_tubonense,0.0227573,OG0002291,F,f,loss
Xanthobacter_autotrophicus,0.0472693,OG0002291,F,c,gain
Azorhizobium_caulinodans,0.418241,OG0002291,M,c,gain
Bradyrhizobium_oligotrophicum,0.22949,OG0002291,F,b,loss
Bradyrhizobium_icense,0.0795687,OG0002291,M,b,loss
Microvirga_vignae,0.115896,OG0002291,M,d,gain
Rhizobium_gallicum,54.0697,OG0002295,M,f,loss
Rhizobium_tubonense,0.0383681,OG0002295,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0002295,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002295,F,a,loss
Microvirga_vignae,95.0101,OG0002295,M,d,gain
Microvirga_subterranea,0.0173625,OG0002295,F,d,gain
Bradyrhizobium_oligotrophicum,0.0407624,OG0002295,F,b,loss
Bradyrhizobium_icense,0.0317077,OG0002295,M,b,loss
Azorhizobium_caulinodans,0.0824503,OG0002295,M,c,gain
Xanthobacter_autotrophicus,0.0398444,OG0002295,F,c,gain
Mesorhizobium_oceanicum,0.0604679,OG0002295,F,e,loss
Mesorhizobium_temperatum,0.0439261,OG0002295,M,e,loss
Rhizobium_gallicum,0.015944,OG0002297,M,f,loss
Rhizobium_tubonense,6.24732e-4,OG0002297,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0002297,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002297,F,a,loss
Bradyrhizobium_oligotrophicum,0.105039,OG0002297,F,b,loss
Bradyrhizobium_icense,0.105319,OG0002297,M,b,loss
Microvirga_vignae,0.0136838,OG0002297,M,d,gain
Microvirga_subterranea,888.99,OG0002297,F,d,gain
Azorhizobium_caulinodans,0.0243589,OG0002297,M,c,gain
Xanthobacter_autotrophicus,0.0311838,OG0002297,F,c,gain
Mesorhizobium_temperatum,0.126292,OG0002297,M,e,loss
Mesorhizobium_oceanicum,0.0942086,OG0002297,F,e,loss
Microvirga_vignae,0.0399583,OG0002298,M,d,gain
Microvirga_subterranea,0.0348374,OG0002298,F,d,gain
Mesorhizobium_oceanicum,0.066414,OG0002298,F,e,loss
Mesorhizobium_temperatum,0.0404153,OG0002298,M,e,loss
Sinorhizobium_meliloti,1e-4,OG0002298,M,a,loss
Sinorhizobium_M4_45,0.218638,OG0002298,F,a,loss
Rhizobium_gallicum,0.0320006,OG0002298,M,f,loss
Rhizobium_tubonense,0.105997,OG0002298,F,f,loss
Bradyrhizobium_oligotrophicum,0.0529907,OG0002298,F,b,loss
Bradyrhizobium_icense,0.0954188,OG0002298,M,b,loss
Xanthobacter_autotrophicus,0.00173424,OG0002298,F,c,gain
Azorhizobium_caulinodans,0.060665,OG0002298,M,c,gain
Xanthobacter_autotrophicus,0.0770632,OG0002299,F,c,gain
Bradyrhizobium_oligotrophicum,0.111684,OG0002299,F,b,loss
Bradyrhizobium_icense,0.0448015,OG0002299,M,b,loss
Mesorhizobium_oceanicum,0.033729,OG0002299,F,e,loss
Mesorhizobium_temperatum,0.0390497,OG0002299,M,e,loss
Sinorhizobium_meliloti,999,OG0002299,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002299,F,a,loss
Rhizobium_tubonense,0.131063,OG0002299,F,f,loss
Rhizobium_gallicum,0.0320094,OG0002299,M,f,loss
Microvirga_subterranea,999,OG0002299,F,d,gain
Microvirga_vignae,0.0399052,OG0002299,M,d,gain
Azorhizobium_caulinodans,0.0432075,OG0002299,M,c,gain
Rhizobium_gallicum,0.100897,OG0002300,M,f,loss
Rhizobium_tubonense,0.0279417,OG0002300,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0002300,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002300,F,a,loss
Azorhizobium_caulinodans,0.053482,OG0002300,M,c,gain
Xanthobacter_autotrophicus,0.0164551,OG0002300,F,c,gain
Bradyrhizobium_oligotrophicum,0.242678,OG0002300,F,b,loss
Bradyrhizobium_icense,0.0338895,OG0002300,M,b,loss
Microvirga_vignae,0.0153728,OG0002300,M,d,gain
Microvirga_subterranea,0.0105475,OG0002300,F,d,gain
Mesorhizobium_temperatum,0.0745391,OG0002300,M,e,loss
Mesorhizobium_oceanicum,0.0292249,OG0002300,F,e,loss
Mesorhizobium_temperatum,0.0139991,OG0002301,M,e,loss
Azorhizobium_caulinodans,0.0391285,OG0002301,M,c,gain
Xanthobacter_autotrophicus,0.115148,OG0002301,F,c,gain
Microvirga_vignae,0.0700078,OG0002301,M,d,gain
Microvirga_subterranea,0.030194,OG0002301,F,d,gain
Bradyrhizobium_icense,0.0149192,OG0002301,M,b,loss
Bradyrhizobium_oligotrophicum,0.0120507,OG0002301,F,b,loss
Mesorhizobium_oceanicum,0.0399612,OG0002301,F,e,loss
Sinorhizobium_meliloti,0.0533322,OG0002301,M,a,loss
Sinorhizobium_M4_45,396.897,OG0002301,F,a,loss
Rhizobium_tubonense,0.0303314,OG0002301,F,f,loss
Rhizobium_gallicum,0.0158004,OG0002301,M,f,loss
Xanthobacter_autotrophicus,0.0793962,OG0002303,F,c,gain
Mesorhizobium_oceanicum,9.15127e-4,OG0002303,F,e,loss
Mesorhizobium_temperatum,0.310021,OG0002303,M,e,loss
Rhizobium_gallicum,0.0545621,OG0002303,M,f,loss
Rhizobium_tubonense,0.063626,OG0002303,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0002303,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002303,F,a,loss
Microvirga_subterranea,0.00126824,OG0002303,F,d,gain
Microvirga_vignae,0.00120319,OG0002303,M,d,gain
Bradyrhizobium_oligotrophicum,0.0323565,OG0002303,F,b,loss
Bradyrhizobium_icense,0.043333000000000003,OG0002303,M,b,loss
Azorhizobium_caulinodans,0.0459549,OG0002303,M,c,gain
Xanthobacter_autotrophicus,0.0698665,OG0002304,F,c,gain
Azorhizobium_caulinodans,0.0392553,OG0002304,M,c,gain
Sinorhizobium_meliloti,1e-4,OG0002304,M,a,loss
Sinorhizobium_M4_45,0.0416292,OG0002304,F,a,loss
Rhizobium_gallicum,0.0258492,OG0002304,M,f,loss
Rhizobium_tubonense,0.034594,OG0002304,F,f,loss
Mesorhizobium_oceanicum,0.0238527,OG0002304,F,e,loss
Mesorhizobium_temperatum,0.0357374,OG0002304,M,e,loss
Microvirga_vignae,0.0235758,OG0002304,M,d,gain
Microvirga_subterranea,0.0243513,OG0002304,F,d,gain
Bradyrhizobium_icense,0.057001,OG0002304,M,b,loss
Bradyrhizobium_oligotrophicum,0.0668942,OG0002304,F,b,loss
Mesorhizobium_oceanicum,1e-4,OG0002305,F,e,loss
Mesorhizobium_temperatum,999,OG0002305,M,e,loss
Sinorhizobium_meliloti,9.96826,OG0002305,M,a,loss
Sinorhizobium_M4_45,9.27389,OG0002305,F,a,loss
Rhizobium_gallicum,1e-4,OG0002305,M,f,loss
Rhizobium_tubonense,0.011684,OG0002305,F,f,loss
Bradyrhizobium_oligotrophicum,1e-4,OG0002305,F,b,loss
Bradyrhizobium_icense,1e-4,OG0002305,M,b,loss
Microvirga_vignae,0.0121385,OG0002305,M,d,gain
Microvirga_subterranea,0.0223725,OG0002305,F,d,gain
Xanthobacter_autotrophicus,0.0102233,OG0002305,F,c,gain
Azorhizobium_caulinodans,0.00759257,OG0002305,M,c,gain
Xanthobacter_autotrophicus,0.103471,OG0002306,F,c,gain
Bradyrhizobium_oligotrophicum,0.0146785,OG0002306,F,b,loss
Bradyrhizobium_icense,0.0456796,OG0002306,M,b,loss
Microvirga_vignae,0.0523984,OG0002306,M,d,gain
Microvirga_subterranea,130.05,OG0002306,F,d,gain
Azorhizobium_caulinodans,999,OG0002306,M,c,gain
Mesorhizobium_temperatum,0.00132677,OG0002306,M,e,loss
Rhizobium_gallicum,999,OG0002306,M,f,loss
Rhizobium_tubonense,0.0324045,OG0002306,F,f,loss
Sinorhizobium_meliloti,28.8127,OG0002306,M,a,loss
Sinorhizobium_M4_45,35.2283,OG0002306,F,a,loss
Mesorhizobium_oceanicum,999,OG0002306,F,e,loss
Sinorhizobium_meliloti,999,OG0002307,M,a,loss
Sinorhizobium_M4_45,0.0167811,OG0002307,F,a,loss
Mesorhizobium_temperatum,0.0459223,OG0002307,M,e,loss
Paraburkholderia_diazotrophica,52.8849,OG0002307,M,h,gain
Paraburkholderia_caribensis,0.0240766,OG0002307,F,h,gain
Xanthobacter_autotrophicus,0.0505772,OG0002307,F,c,gain
Azorhizobium_caulinodans,0.060234,OG0002307,M,c,gain
Microvirga_subterranea,0.0152731,OG0002307,F,d,gain
Microvirga_vignae,0.0382035,OG0002307,M,d,gain
Bradyrhizobium_icense,0.105268,OG0002307,M,b,loss
Rhizobium_gallicum,0.0159221,OG0002307,M,f,loss
Rhizobium_tubonense,0.0337322,OG0002307,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0002308,M,a,loss
Sinorhizobium_M4_45,999,OG0002308,F,a,loss
Mesorhizobium_temperatum,0.00199491,OG0002308,M,e,loss
Microvirga_vignae,0.0260351,OG0002308,M,d,gain
Microvirga_subterranea,0.0476649,OG0002308,F,d,gain
Azorhizobium_caulinodans,0.0420167,OG0002308,M,c,gain
Xanthobacter_autotrophicus,0.0671561,OG0002308,F,c,gain
Bradyrhizobium_oligotrophicum,0.0549024,OG0002308,F,b,loss
Bradyrhizobium_icense,0.315294,OG0002308,M,b,loss
Mesorhizobium_oceanicum,0.00190007,OG0002308,F,e,loss
Rhizobium_tubonense,0.0558437,OG0002308,F,f,loss
Rhizobium_gallicum,0.112409,OG0002308,M,f,loss
Xanthobacter_autotrophicus,0.0834575,OG0002310,F,c,gain
Microvirga_vignae,0.0183602,OG0002310,M,d,gain
Microvirga_subterranea,0.0163709,OG0002310,F,d,gain
Sinorhizobium_meliloti,1e-4,OG0002310,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002310,F,a,loss
Rhizobium_gallicum,0.0229965,OG0002310,M,f,loss
Rhizobium_tubonense,0.011808,OG0002310,F,f,loss
Mesorhizobium_temperatum,0.0271542,OG0002310,M,e,loss
Mesorhizobium_oceanicum,0.0153944,OG0002310,F,e,loss
Bradyrhizobium_icense,0.00780969,OG0002310,M,b,loss
Bradyrhizobium_oligotrophicum,0.00526935,OG0002310,F,b,loss
Azorhizobium_caulinodans,0.0387045,OG0002310,M,c,gain
Sinorhizobium_M4_45,1e-4,OG0002311,F,a,loss
Sinorhizobium_meliloti,0.0696405,OG0002311,M,a,loss
Rhizobium_gallicum,0.0216129,OG0002311,M,f,loss
Rhizobium_tubonense,0.0224652,OG0002311,F,f,loss
Microvirga_vignae,0.0235312,OG0002311,M,d,gain
Microvirga_subterranea,0.0255264,OG0002311,F,d,gain
Azorhizobium_caulinodans,0.0703868,OG0002311,M,c,gain
Xanthobacter_autotrophicus,0.0709709,OG0002311,F,c,gain
Bradyrhizobium_oligotrophicum,0.0738178,OG0002311,F,b,loss
Bradyrhizobium_icense,0.0346818,OG0002311,M,b,loss
Mesorhizobium_temperatum,0.0534235,OG0002311,M,e,loss
Mesorhizobium_oceanicum,0.0422247,OG0002311,F,e,loss
Mesorhizobium_temperatum,0.00892066,OG0002312,M,e,loss
Rhizobium_gallicum,0.0200754,OG0002312,M,f,loss
Rhizobium_tubonense,0.0114825,OG0002312,F,f,loss
Sinorhizobium_meliloti,11.7402,OG0002312,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002312,F,a,loss
Xanthobacter_autotrophicus,5.88213e-4,OG0002312,F,c,gain
Bradyrhizobium_oligotrophicum,0.00422984,OG0002312,F,b,loss
Bradyrhizobium_icense,0.0024516,OG0002312,M,b,loss
Microvirga_subterranea,0.0248679,OG0002312,F,d,gain
Microvirga_vignae,23.888,OG0002312,M,d,gain
Azorhizobium_caulinodans,0.00526194,OG0002312,M,c,gain
Mesorhizobium_oceanicum,0.0072441,OG0002312,F,e,loss
Rhizobium_gallicum,6.34156e-4,OG0002313,M,f,loss
Rhizobium_tubonense,0.00140913,OG0002313,F,f,loss
Sinorhizobium_meliloti,999,OG0002313,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002313,F,a,loss
Azorhizobium_caulinodans,0.35801500000000003,OG0002313,M,c,gain
Xanthobacter_autotrophicus,0.112853,OG0002313,F,c,gain
Bradyrhizobium_oligotrophicum,0.0515361,OG0002313,F,b,loss
Bradyrhizobium_icense,0.0248744,OG0002313,M,b,loss
Microvirga_vignae,0.00107052,OG0002313,M,d,gain
Microvirga_subterranea,0.0131613,OG0002313,F,d,gain
Mesorhizobium_temperatum,0.00189113,OG0002313,M,e,loss
Mesorhizobium_oceanicum,0.00216019,OG0002313,F,e,loss
Microvirga_subterranea,0.0405875,OG0002314,F,d,gain
Bradyrhizobium_oligotrophicum,0.0240392,OG0002314,F,b,loss
Bradyrhizobium_icense,0.216241,OG0002314,M,b,loss
Azorhizobium_caulinodans,0.237239,OG0002314,M,c,gain
Xanthobacter_autotrophicus,0.0750154,OG0002314,F,c,gain
Sinorhizobium_M4_45,0.0465644,OG0002314,F,a,loss
Sinorhizobium_meliloti,999,OG0002314,M,a,loss
Rhizobium_gallicum,0.132395,OG0002314,M,f,loss
Rhizobium_tubonense,0.0653317,OG0002314,F,f,loss
Mesorhizobium_oceanicum,0.00206915,OG0002314,F,e,loss
Mesorhizobium_temperatum,0.00217358,OG0002314,M,e,loss
Microvirga_vignae,0.00138279,OG0002314,M,d,gain
Sinorhizobium_M4_45,1e-4,OG0002315,F,a,loss
Sinorhizobium_meliloti,0.00677387,OG0002315,M,a,loss
Rhizobium_gallicum,0.0704211,OG0002315,M,f,loss
Rhizobium_tubonense,0.0807673,OG0002315,F,f,loss
Microvirga_vignae,0.0266001,OG0002315,M,d,gain
Microvirga_subterranea,0.0443037,OG0002315,F,d,gain
Azorhizobium_caulinodans,0.0899737,OG0002315,M,c,gain
Xanthobacter_autotrophicus,0.108365,OG0002315,F,c,gain
Bradyrhizobium_oligotrophicum,0.0421573,OG0002315,F,b,loss
Bradyrhizobium_icense,0.0258674,OG0002315,M,b,loss
Mesorhizobium_temperatum,0.0578434,OG0002315,M,e,loss
Mesorhizobium_oceanicum,0.0394973,OG0002315,F,e,loss
Sinorhizobium_meliloti,999,OG0002316,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002316,F,a,loss
Rhizobium_gallicum,0.114325,OG0002316,M,f,loss
Rhizobium_tubonense,0.0637413,OG0002316,F,f,loss
Azorhizobium_caulinodans,0.146113,OG0002316,M,c,gain
Xanthobacter_autotrophicus,0.182779,OG0002316,F,c,gain
Microvirga_vignae,0.056036,OG0002316,M,d,gain
Microvirga_subterranea,0.0365193,OG0002316,F,d,gain
Mesorhizobium_oceanicum,0.0410471,OG0002316,F,e,loss
Mesorhizobium_temperatum,0.044745,OG0002316,M,e,loss
Bradyrhizobium_icense,0.0658679,OG0002316,M,b,loss
Bradyrhizobium_oligotrophicum,0.0792169,OG0002316,F,b,loss
Paraburkholderia_caribensis,0.0127802,OG0002319,F,h,gain
Paraburkholderia_diazotrophica,603.317,OG0002319,M,h,gain
Cupriavidus_alkaliphilus,999,OG0002319,F,g,gain
Cupriavidus_taiwanensis,1e-4,OG0002319,M,g,gain
Sinorhizobium_M4_45,999,OG0002319,F,a,loss
Sinorhizobium_meliloti,1e-4,OG0002319,M,a,loss
Rhizobium_gallicum,0.0567708,OG0002319,M,f,loss
Rhizobium_tubonense,0.0301157,OG0002319,F,f,loss
Mesorhizobium_temperatum,0.036135,OG0002319,M,e,loss
Mesorhizobium_oceanicum,0.045603,OG0002319,F,e,loss
Microvirga_vignae,0.0310449,OG0002319,M,d,gain
Azorhizobium_caulinodans,0.050428,OG0002319,M,c,gain
Bradyrhizobium_oligotrophicum,0.0035297,OG0002320,F,b,loss
Bradyrhizobium_icense,0.00674556,OG0002320,M,b,loss
Rhizobium_gallicum,0.0133381,OG0002320,M,f,loss
Rhizobium_tubonense,1e-4,OG0002320,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0002320,M,a,loss
Sinorhizobium_M4_45,1.41211,OG0002320,F,a,loss
Mesorhizobium_oceanicum,0.00199604,OG0002320,F,e,loss
Mesorhizobium_temperatum,0.00317132,OG0002320,M,e,loss
Azorhizobium_caulinodans,0.0082846,OG0002320,M,c,gain
Xanthobacter_autotrophicus,0.0313091,OG0002320,F,c,gain
Microvirga_vignae,0.0501153,OG0002320,M,d,gain
Microvirga_subterranea,0.00723076,OG0002320,F,d,gain
Mesorhizobium_temperatum,0.0741321,OG0002321,M,e,loss
Xanthobacter_autotrophicus,0.162514,OG0002321,F,c,gain
Azorhizobium_caulinodans,0.0673713,OG0002321,M,c,gain
Microvirga_vignae,168.298,OG0002321,M,d,gain
Microvirga_subterranea,0.0162615,OG0002321,F,d,gain
Bradyrhizobium_oligotrophicum,0.0248468,OG0002321,F,b,loss
Bradyrhizobium_icense,0.166587,OG0002321,M,b,loss
Sinorhizobium_M4_45,999,OG0002321,F,a,loss
Sinorhizobium_meliloti,1e-4,OG0002321,M,a,loss
Rhizobium_gallicum,0.0432542,OG0002321,M,f,loss
Rhizobium_tubonense,0.0649768,OG0002321,F,f,loss
Mesorhizobium_oceanicum,0.0525387,OG0002321,F,e,loss
Mesorhizobium_temperatum,6.99544e-4,OG0002322,M,e,loss
Rhizobium_gallicum,0.010383999999999999,OG0002322,M,f,loss
Rhizobium_tubonense,0.0454007,OG0002322,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0002322,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002322,F,a,loss
Azorhizobium_caulinodans,0.141798,OG0002322,M,c,gain
Xanthobacter_autotrophicus,0.0600449,OG0002322,F,c,gain
Bradyrhizobium_oligotrophicum,0.0420199,OG0002322,F,b,loss
Bradyrhizobium_icense,9.54378e-4,OG0002322,M,b,loss
Microvirga_vignae,0.00809297,OG0002322,M,d,gain
Microvirga_subterranea,0.104421,OG0002322,F,d,gain
Mesorhizobium_oceanicum,8.94776e-4,OG0002322,F,e,loss
Sinorhizobium_meliloti,1e-4,OG0002323,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002323,F,a,loss
Azorhizobium_caulinodans,30.2441,OG0002323,M,c,gain
Xanthobacter_autotrophicus,0.0870382,OG0002323,F,c,gain
Bradyrhizobium_oligotrophicum,0.018316700000000002,OG0002323,F,b,loss
Bradyrhizobium_icense,0.0708011,OG0002323,M,b,loss
Mesorhizobium_oceanicum,0.125674,OG0002323,F,e,loss
Mesorhizobium_temperatum,0.0733094,OG0002323,M,e,loss
Microvirga_vignae,0.169299,OG0002323,M,d,gain
Microvirga_subterranea,0.0132457,OG0002323,F,d,gain
Rhizobium_tubonense,0.103416,OG0002323,F,f,loss
Rhizobium_gallicum,0.0815211,OG0002323,M,f,loss
Bradyrhizobium_oligotrophicum,0.054509,OG0002324,F,b,loss
Bradyrhizobium_icense,0.0591073,OG0002324,M,b,loss
Microvirga_vignae,0.0310658,OG0002324,M,d,gain
Microvirga_subterranea,0.0637033,OG0002324,F,d,gain
Mesorhizobium_temperatum,0.0802314,OG0002324,M,e,loss
Rhizobium_tubonense,0.0290725,OG0002324,F,f,loss
Rhizobium_gallicum,0.0460162,OG0002324,M,f,loss
Sinorhizobium_M4_45,0.05612,OG0002324,F,a,loss
Sinorhizobium_meliloti,0.0418285,OG0002324,M,a,loss
Mesorhizobium_oceanicum,0.0511836,OG0002324,F,e,loss
Xanthobacter_autotrophicus,0.024567,OG0002324,F,c,gain
Azorhizobium_caulinodans,0.0247029,OG0002324,M,c,gain
Rhizobium_gallicum,0.0530898,OG0002325,M,f,loss
Rhizobium_tubonense,0.0396236,OG0002325,F,f,loss
Sinorhizobium_meliloti,349.19,OG0002325,M,a,loss
Sinorhizobium_M4_45,0.0320225,OG0002325,F,a,loss
Azorhizobium_caulinodans,0.0204537,OG0002325,M,c,gain
Xanthobacter_autotrophicus,0.0343717,OG0002325,F,c,gain
Bradyrhizobium_oligotrophicum,0.0414417,OG0002325,F,b,loss
Bradyrhizobium_icense,0.0514271,OG0002325,M,b,loss
Microvirga_vignae,0.0438695,OG0002325,M,d,gain
Microvirga_subterranea,0.0144472,OG0002325,F,d,gain
Mesorhizobium_temperatum,0.0321124,OG0002325,M,e,loss
Mesorhizobium_oceanicum,0.0497369,OG0002325,F,e,loss
Azorhizobium_caulinodans,0.0600394,OG0002334,M,c,gain
Microvirga_vignae,0.0296013,OG0002334,M,d,gain
Microvirga_subterranea,0.0264004,OG0002334,F,d,gain
Mesorhizobium_temperatum,0.0503681,OG0002334,M,e,loss
Mesorhizobium_oceanicum,0.0216415,OG0002334,F,e,loss
Sinorhizobium_meliloti,0.0267125,OG0002334,M,a,loss
Sinorhizobium_M4_45,0.139047,OG0002334,F,a,loss
Rhizobium_gallicum,0.0388474,OG0002334,M,f,loss
Bradyrhizobium_icense,0.0399959,OG0002334,M,b,loss
Bradyrhizobium_oligotrophicum,0.0294518,OG0002334,F,b,loss
Paraburkholderia_diazotrophica,0.0368369,OG0002334,M,h,gain
Paraburkholderia_caribensis,0.110107,OG0002334,F,h,gain
Xanthobacter_autotrophicus,0.0382102,OG0002336,F,c,gain
Bradyrhizobium_oligotrophicum,0.021052,OG0002336,F,b,loss
Bradyrhizobium_icense,0.0187856,OG0002336,M,b,loss
Sinorhizobium_meliloti,351.957,OG0002336,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002336,F,a,loss
Rhizobium_gallicum,0.00910654,OG0002336,M,f,loss
Rhizobium_tubonense,0.0221692,OG0002336,F,f,loss
Mesorhizobium_temperatum,0.0423725,OG0002336,M,e,loss
Mesorhizobium_oceanicum,0.0575611,OG0002336,F,e,loss
Microvirga_subterranea,0.0176325,OG0002336,F,d,gain
Microvirga_vignae,782.315,OG0002336,M,d,gain
Azorhizobium_caulinodans,0.0807073,OG0002336,M,c,gain
Bradyrhizobium_oligotrophicum,0.127749,OG0002338,F,b,loss
Bradyrhizobium_icense,0.104285,OG0002338,M,b,loss
Microvirga_vignae,0.0175061,OG0002338,M,d,gain
Microvirga_subterranea,0.0682501,OG0002338,F,d,gain
Mesorhizobium_temperatum,0.00312088,OG0002338,M,e,loss
Mesorhizobium_oceanicum,0.0201875,OG0002338,F,e,loss
Rhizobium_gallicum,0.11025,OG0002338,M,f,loss
Rhizobium_tubonense,0.0676558,OG0002338,F,f,loss
Sinorhizobium_meliloti,29.8065,OG0002338,M,a,loss
Sinorhizobium_M4_45,0.0349583,OG0002338,F,a,loss
Xanthobacter_autotrophicus,0.219607,OG0002338,F,c,gain
Azorhizobium_caulinodans,0.156134,OG0002338,M,c,gain
Microvirga_subterranea,5.64605e-4,OG0002339,F,d,gain
Rhizobium_tubonense,0.0323988,OG0002339,F,f,loss
Rhizobium_gallicum,0.314532,OG0002339,M,f,loss
Sinorhizobium_M4_45,584.88,OG0002339,F,a,loss
Sinorhizobium_meliloti,0.0287242,OG0002339,M,a,loss
Mesorhizobium_oceanicum,5.11e-4,OG0002339,F,e,loss
Mesorhizobium_temperatum,0.0493591,OG0002339,M,e,loss
Bradyrhizobium_oligotrophicum,0.0626261,OG0002339,F,b,loss
Bradyrhizobium_icense,0.0311411,OG0002339,M,b,loss
Azorhizobium_caulinodans,0.0485648,OG0002339,M,c,gain
Xanthobacter_autotrophicus,0.0650265,OG0002339,F,c,gain
Microvirga_vignae,0.0144875,OG0002339,M,d,gain
Microvirga_subterranea,0.0206665,OG0002340,F,d,gain
Bradyrhizobium_oligotrophicum,0.0406155,OG0002340,F,b,loss
Bradyrhizobium_icense,0.0399999,OG0002340,M,b,loss
Azorhizobium_caulinodans,0.0594205,OG0002340,M,c,gain
Xanthobacter_autotrophicus,0.0672988,OG0002340,F,c,gain
Sinorhizobium_meliloti,1e-4,OG0002340,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002340,F,a,loss
Rhizobium_tubonense,0.0568727,OG0002340,F,f,loss
Rhizobium_gallicum,0.0354601,OG0002340,M,f,loss
Mesorhizobium_temperatum,0.0269475,OG0002340,M,e,loss
Mesorhizobium_oceanicum,0.00516031,OG0002340,F,e,loss
Microvirga_vignae,0.0439006,OG0002340,M,d,gain
Rhizobium_tubonense,0.0318005,OG0002341,F,f,loss
Mesorhizobium_oceanicum,0.214599,OG0002341,F,e,loss
Mesorhizobium_temperatum,0.0696831,OG0002341,M,e,loss
Microvirga_vignae,0.0147932,OG0002341,M,d,gain
Microvirga_subterranea,0.0576576,OG0002341,F,d,gain
Bradyrhizobium_oligotrophicum,1e-4,OG0002341,F,b,loss
Bradyrhizobium_icense,0.0576655,OG0002341,M,b,loss
Xanthobacter_autotrophicus,0.133076,OG0002341,F,c,gain
Azorhizobium_caulinodans,0.0474885,OG0002341,M,c,gain
Sinorhizobium_meliloti,0.122877,OG0002341,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002341,F,a,loss
Rhizobium_gallicum,0.509495,OG0002341,M,f,loss
Microvirga_vignae,0.0259509,OG0002342,M,d,gain
Microvirga_subterranea,0.102019,OG0002342,F,d,gain
Bradyrhizobium_oligotrophicum,0.0365909,OG0002342,F,b,loss
Bradyrhizobium_icense,0.0469189,OG0002342,M,b,loss
Rhizobium_gallicum,0.103888,OG0002342,M,f,loss
Rhizobium_tubonense,0.11596,OG0002342,F,f,loss
Sinorhizobium_meliloti,101.828,OG0002342,M,a,loss
Sinorhizobium_M4_45,0.02822,OG0002342,F,a,loss
Mesorhizobium_temperatum,0.0113059,OG0002342,M,e,loss
Mesorhizobium_oceanicum,0.00191825,OG0002342,F,e,loss
Xanthobacter_autotrophicus,0.822461,OG0002342,F,c,gain
Azorhizobium_caulinodans,0.0342079,OG0002342,M,c,gain
Rhizobium_tubonense,0.0786718,OG0002343,F,f,loss
Mesorhizobium_temperatum,535.396,OG0002343,M,e,loss
Mesorhizobium_oceanicum,0.0636741,OG0002343,F,e,loss
Microvirga_vignae,0.0130581,OG0002343,M,d,gain
Microvirga_subterranea,0.0399725,OG0002343,F,d,gain
Bradyrhizobium_oligotrophicum,0.0437962,OG0002343,F,b,loss
Bradyrhizobium_icense,0.19773,OG0002343,M,b,loss
Xanthobacter_autotrophicus,0.101621,OG0002343,F,c,gain
Azorhizobium_caulinodans,0.151234,OG0002343,M,c,gain
Sinorhizobium_meliloti,1e-4,OG0002343,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0002343,F,a,loss
Rhizobium_gallicum,0.0596737,OG0002343,M,f,loss
Rhizobium_gallicum,0.0398893,OG0002350,M,f,loss
Rhizobium_tubonense,0.0195126,OG0002350,F,f,loss
