Code,dnds,Gene,Estimate,Species,Mutualist,Pair,Transition
Calliandra_eriophylla,0.251587,OG0020229,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.277642,OG0020229,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.251587,OG0020229,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.251587,OG0020229,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.068849,OG0020230,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.068849,OG0020230,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.306564,OG0020230,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.306564,OG0020230,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.068849,OG0020230,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.306564,OG0020230,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.112907,OG0020235,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.504826,OG0020235,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.112907,OG0020235,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.112907,OG0020235,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.504826,OG0020235,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.504826,OG0020235,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.155169,OG0020238,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.155169,OG0020238,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.145949,OG0020238,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.155169,OG0020238,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.145949,OG0020238,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.145949,OG0020238,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.34835,OG0020240,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.34835,OG0020240,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.240784,OG0020240,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.240784,OG0020240,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.34835,OG0020240,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.240784,OG0020240,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.353748,OG0020242,loss,Dalea_mollis,F,b,loss
Mimosa_grahamii,0.353748,OG0020242,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.272227,OG0020242,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_humilis,0.353748,OG0020242,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.272227,OG0020242,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollissima,0.272227,OG0020242,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.137335,OG0020251,loss,Dalea_mollis,F,b,loss
Mimosa_aculeaticarpa,0.0814955,OG0020251,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.137335,OG0020251,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.0814955,OG0020251,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.137335,OG0020251,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.0814955,OG0020251,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.132341,OG0020256,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.140496,OG0020256,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.132341,OG0020256,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.132341,OG0020256,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.140496,OG0020256,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.140496,OG0020256,loss,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla,0.127354,OG0020259,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.14541,OG0020259,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.127354,OG0020259,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.14541,OG0020259,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.127354,OG0020259,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.14541,OG0020259,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.310011,OG0020260,loss,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.245791,OG0020260,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.310011,OG0020260,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.310011,OG0020260,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.245791,OG0020260,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.245791,OG0020260,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.103704,OG0020261,loss,Dalea_mollis,F,b,loss
Mimosa_aculeaticarpa,0.0922832,OG0020261,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.103704,OG0020261,loss,Mimosa_grahamii,F,a,loss
Calliandra_humilis,0.103704,OG0020261,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.0922832,OG0020261,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollissima,0.0922832,OG0020261,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.226235,OG0020269,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.266791,OG0020269,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.226235,OG0020269,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.226235,OG0020269,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.266791,OG0020269,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.266791,OG0020269,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.040499,OG0020271,loss,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.150037,OG0020271,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.040499,OG0020271,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.040499,OG0020271,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.150037,OG0020271,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.150037,OG0020271,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.228958,OG0020273,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.344873,OG0020273,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.228958,OG0020273,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.228958,OG0020273,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.344873,OG0020273,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.344873,OG0020273,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.0503909,OG0020276,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.0503909,OG0020276,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.03008,OG0020276,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.03008,OG0020276,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.0503909,OG0020276,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.03008,OG0020276,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.180504,OG0020277,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.180504,OG0020277,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.231223,OG0020277,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.231223,OG0020277,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.180504,OG0020277,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.231223,OG0020277,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.308355,OG0020279,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.308355,OG0020279,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.449507,OG0020279,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.449507,OG0020279,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.308355,OG0020279,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.449507,OG0020279,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.0470525,OG0020284,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.0678649,OG0020284,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0470525,OG0020284,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.0470525,OG0020284,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.0678649,OG0020284,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.0678649,OG0020284,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.136329,OG0020286,loss,Dalea_mollis,F,b,loss
Mimosa_aculeaticarpa,0.10499,OG0020286,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.136329,OG0020286,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.10499,OG0020286,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.136329,OG0020286,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.10499,OG0020286,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.445818,OG0020290,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.17424,OG0020290,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.445818,OG0020290,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.445818,OG0020290,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.17424,OG0020290,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.17424,OG0020290,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.143759,OG0020291,loss,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.183863,OG0020291,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.143759,OG0020291,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.143759,OG0020291,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.183863,OG0020291,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.183863,OG0020291,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.120444,OG0020292,loss,Dalea_mollis,F,b,loss
Mimosa_grahamii,0.120444,OG0020292,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.15408,OG0020292,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.15408,OG0020292,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.120444,OG0020292,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.15408,OG0020292,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.175403,OG0020294,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.346306,OG0020294,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.175403,OG0020294,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.175403,OG0020294,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.346306,OG0020294,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.346306,OG0020294,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.100804,OG0020300,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.131062,OG0020300,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.100804,OG0020300,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.100804,OG0020300,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.131062,OG0020300,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.131062,OG0020300,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.32449,OG0020302,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.225683,OG0020302,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.32449,OG0020302,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.32449,OG0020302,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.225683,OG0020302,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.225683,OG0020302,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.0793079,OG0020310,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.170553,OG0020310,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.0793079,OG0020310,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.170553,OG0020310,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.0793079,OG0020310,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.170553,OG0020310,loss,Calliandra_humilis,F,c,loss
Calliandra_humilis,0.161102,OG0020314,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.388133,OG0020314,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.161102,OG0020314,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.161102,OG0020314,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.388133,OG0020314,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.388133,OG0020314,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.246521,OG0020316,loss,Dalea_mollis,F,b,loss
Mimosa_grahamii,0.246521,OG0020316,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.139593,OG0020316,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.139593,OG0020316,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.246521,OG0020316,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.139593,OG0020316,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.0936358,OG0020318,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.198551,OG0020318,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0936358,OG0020318,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.0936358,OG0020318,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.198551,OG0020318,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.198551,OG0020318,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_humilis,0.335131,OG0020322,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.335131,OG0020322,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.037437,OG0020322,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.335131,OG0020322,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.037437,OG0020322,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.037437,OG0020322,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.566115,OG0020324,loss,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.519052,OG0020324,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.566115,OG0020324,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.519052,OG0020324,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.566115,OG0020324,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.519052,OG0020324,loss,Dalea_mollissima,M,b,loss
Dalea_mollissima,0.136905,OG0020331,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.136905,OG0020331,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.119456,OG0020331,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.136905,OG0020331,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.119456,OG0020331,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.119456,OG0020331,loss,Dalea_mollis,F,b,loss
Dalea_mollis1,0.450121,OG0020334,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.450121,OG0020334,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.204604,OG0020334,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.204604,OG0020334,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.450121,OG0020334,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.204604,OG0020334,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.662854,OG0020335,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.662854,OG0020335,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.565586,OG0020335,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.565586,OG0020335,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.662854,OG0020335,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.565586,OG0020335,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.157306,OG0020344,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.157306,OG0020344,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.134645,OG0020344,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.134645,OG0020344,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.157306,OG0020344,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.134645,OG0020344,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.195945,OG0020345,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.36892200000000003,OG0020345,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.195945,OG0020345,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.195945,OG0020345,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.36892200000000003,OG0020345,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.36892200000000003,OG0020345,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.103312,OG0020348,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.103312,OG0020348,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.647815,OG0020348,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.647815,OG0020348,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.103312,OG0020348,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.647815,OG0020348,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.254124,OG0020349,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.316523,OG0020349,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.254124,OG0020349,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.254124,OG0020349,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.316523,OG0020349,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.316523,OG0020349,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.3003,OG0020350,loss,Mimosa_grahamii,F,a,loss
Calliandra_humilis,0.3003,OG0020350,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.122226,OG0020350,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.3003,OG0020350,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.122226,OG0020350,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.122226,OG0020350,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.244344,OG0020351,loss,Dalea_mollis,F,b,loss
Mimosa_grahamii,0.244344,OG0020351,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.384001,OG0020351,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.384001,OG0020351,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.244344,OG0020351,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.384001,OG0020351,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.571088,OG0020353,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.571088,OG0020353,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.104691,OG0020353,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.571088,OG0020353,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.104691,OG0020353,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.104691,OG0020353,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.21715,OG0020355,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.292345,OG0020355,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.21715,OG0020355,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.21715,OG0020355,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.292345,OG0020355,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.292345,OG0020355,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.226945,OG0020358,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.226945,OG0020358,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.162295,OG0020358,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.162295,OG0020358,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.226945,OG0020358,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.162295,OG0020358,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.414436,OG0020360,loss,Mimosa_grahamii,F,a,loss
Calliandra_humilis,0.414436,OG0020360,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.150745,OG0020360,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.414436,OG0020360,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.150745,OG0020360,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.150745,OG0020360,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.259534,OG0020367,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.0428334,OG0020367,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.259534,OG0020367,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.259534,OG0020367,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.0428334,OG0020367,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.0428334,OG0020367,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.077851600000000007,OG0020368,loss,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.371334,OG0020368,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.077851600000000007,OG0020368,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.077851600000000007,OG0020368,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.371334,OG0020368,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.371334,OG0020368,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.244124,OG0020371,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.157733,OG0020371,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.244124,OG0020371,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.244124,OG0020371,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.157733,OG0020371,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.157733,OG0020371,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.184499,OG0020378,loss,Dalea_mollis,F,b,loss
Mimosa_aculeaticarpa,0.169844,OG0020378,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.184499,OG0020378,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.169844,OG0020378,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.184499,OG0020378,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.169844,OG0020378,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.501822,OG0020382,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.501822,OG0020382,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.190037,OG0020382,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.190037,OG0020382,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.501822,OG0020382,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.190037,OG0020382,loss,Dalea_mollissima,M,b,loss
Dalea_mollissima,0.130422,OG0020384,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.388228,OG0020384,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.130422,OG0020384,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.130422,OG0020384,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.388228,OG0020384,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.388228,OG0020384,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.315734,OG0020389,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.315734,OG0020389,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.236144,OG0020389,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.315734,OG0020389,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.236144,OG0020389,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.236144,OG0020389,loss,Dalea_mollis,F,b,loss
Dalea_mollis1,0.102027,OG0020397,loss,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.0516746,OG0020397,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.102027,OG0020397,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.0516746,OG0020397,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.102027,OG0020397,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.0516746,OG0020397,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.172874,OG0020399,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.57509,OG0020399,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.172874,OG0020399,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.172874,OG0020399,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.57509,OG0020399,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.57509,OG0020399,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.0298654,OG0020403,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.0256036,OG0020403,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0298654,OG0020403,loss,Calliandra_humilis,F,c,loss
